"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.158291321E0,1.068637133E-1,-2.613722938E-1,1.192213954E0
9.929000000E-3,-1.106731158E0,3.550809413E-2,-1.602220412E-1,1.118832330E0
1.985900000E-2,-9.688748628E-1,-1.630702199E-1,-6.059484199E-2,9.843689000E-1
2.978800000E-2,-8.815712553E-1,-2.365434082E-1,1.100596552E-1,9.193659717E-1
3.971800000E-2,-8.327388185E-1,-2.034076756E-1,1.801607542E-1,8.759489253E-1
4.964700000E-2,-7.512759948E-1,-2.199941799E-1,2.184787278E-1,8.127398194E-1
5.957600000E-2,-7.787374431E-1,-3.328115281E-1,2.358145528E-1,8.790927265E-1
6.950600000E-2,-8.701738626E-1,-3.608112127E-1,3.378823797E-1,1.000775592E0
7.943454167E-2,-8.480632013E-1,-3.078917183E-1,4.051962572E-1,9.890361523E-1
8.936454167E-2,-7.936215305E-1,-2.233750400E-1,3.332562089E-1,8.892644393E-1
9.929354167E-2,-6.847042751E-1,-1.988798842E-1,2.125310862E-1,7.440044458E-1
1.092235417E-1,-5.041972196E-1,-1.649392824E-1,5.838722572E-2,5.336936118E-1
1.191525417E-1,-4.565488440E-1,-1.256620730E-1,-1.422270888E-1,4.944252707E-1
1.290815417E-1,-4.685917693E-1,-1.070673425E-1,-4.252592236E-1,6.417842857E-1
1.390115417E-1,-4.712873358E-1,-1.003040144E-1,-7.049194153E-1,8.538641755E-1
1.489405417E-1,-4.902650589E-1,-4.438343659E-2,-9.604690517E-1,1.079273143E0
1.588705417E-1,-4.840073687E-1,1.597459316E-3,-1.025695619E0,1.134159243E0
1.687995417E-1,-4.644449240E-1,-9.354390219E-2,-9.736165161E-1,1.082768983E0
1.787295417E-1,-3.465416676E-1,-1.755676201E-1,-7.985783614E-1,8.880554689E-1
1.886585417E-1,-2.471354932E-1,-1.492721066E-1,-5.028326257E-1,5.798264941E-1
1.985885417E-1,-1.871103162E-1,-1.012600341E-1,-2.251043540E-1,3.097351048E-1
2.085175417E-1,-1.091061205E-1,-6.686364189E-2,9.147501111E-2,1.572977107E-1
2.184465417E-1,-2.581311822E-2,-2.787820861E-2,3.155145872E-1,3.177939054E-1
2.283765417E-1,1.967003345E-3,2.689909235E-2,4.090245755E-1,4.099128366E-1
2.383055417E-1,1.015129262E-1,2.075016037E-2,3.960588133E-1,4.093873801E-1
2.482355417E-1,1.774039382E-1,-4.205434442E-2,2.582183057E-1,3.160971663E-1
2.581645417E-1,2.535177290E-1,-8.818193235E-2,5.506132945E-2,2.740055513E-1
2.680945417E-1,4.081181109E-1,-7.351024501E-2,-2.328210707E-1,4.755731274E-1
2.780235417E-1,6.298398507E-1,-2.043002531E-2,-4.934319109E-1,8.003690862E-1
2.879535417E-1,9.079533076E-1,1.543745331E-2,-6.824374558E-1,1.135930634E0
2.978825417E-1,1.198844100E0,2.851592056E-2,-8.167968236E-1,1.450929835E0
3.078115417E-1,1.423915125E0,3.034295619E-2,-8.603370917E-1,1.663921540E0
3.177415417E-1,1.568814391E0,9.331995383E-2,-8.324318397E-1,1.778434698E0
3.276705417E-1,1.578216130E0,2.033053493E-1,-7.723499447E-1,1.768791580E0
3.376005417E-1,1.492774860E0,2.535977263E-1,-6.670633717E-1,1.654588206E0
3.475295417E-1,1.229431470E0,1.984016550E-1,-5.564717661E-1,1.364010917E0
3.574595417E-1,9.492182779E-1,1.243859182E-1,-4.484551281E-1,1.057165643E0
3.673885417E-1,6.608260006E-1,1.098840194E-1,-2.943655005E-1,7.317216333E-1
3.773175417E-1,3.781499612E-1,1.244632842E-1,-1.391305496E-1,4.217176924E-1
